Placement,Model
PKB6B5_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,CX-3 & CX-5
PKB6B6_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,CX-3 & CX-5
PKB6B7_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,MX-5
PK3W1X_CarBuyer_Mazda 2 Keywords_300 x 250_Cross Device_Site Specific,Mazda 2
PK3W4Q_CarBuyer_Mazda 3 Keywords_300 x 250_Cross device_Site Specific,Mazda 3
PK3W5Y_CarBuyer_Mazda 6 Keywords_300 x 250_Cross Device_Site Specific,Mazda 6
PK3W70_CarBuyer_MX-5 Keywords_300 x 250_Cross Device_Site Specific,MX-5
PK3W7S_CarBuyer_CX-3 Keywords_300 x 250_Cross Device_Site Specific,CX-3 & CX-5
PK3W8S_CarBuyer_CX-5 Keywords_300 x 250_Cross Device_Site Specific,CX-3 & CX-5
PK4HDG_AUTO EXPRESS_Mazda 2 Keywords_300 x 250_Cross Device_Site Specific,Mazda 2
PK4HDH_AUTO EXPRESS_Mazda 3 Keywords_300 x 250_Cross Device_Site Specific,Mazda 3
PK4HDJ_AUTO EXPRESS_Mazda 6 Keywords_300 x 250_Cross Device_Site Specific,Mazda 6
PK4HDL_AUTO EXPRESS_MX-5 Keywords_300 x 250_Cross Device_Site Specific,MX-5
PK4HDM_AUTO EXPRESS_CX-3 Keywords_300 x 250_Cross Device_Site Specific,CX-3 & CX-5
PK4HGH_AUTO EXPRESS_CX-5 Keywords_300 x 250_Cross Device_Site Specific,CX-3 & CX-5
DataXu Mazda 2 brochure 160x600,Mazda 2
DataXu Mazda 2 brochure 300x250,Mazda 2
DataXu Mazda 2 brochure 468x60,Mazda 2
DataXu Mazda 2 brochure 728x90,Mazda 2
DataXu Mazda 2 configure 300x250,Mazda 2
DataXu Mazda 2 default 160x600,Mazda 2
DataXu Mazda 2 financial 160x600,Mazda 2
DataXu Mazda 2 financial 300x250,Mazda 2
DataXu Mazda 2 learnmore 160x600,Mazda 2
DataXu Mazda 3 brochure 120x600,Mazda 3
DataXu Mazda 3 brochure 160x600,Mazda 3
DataXu Mazda 3 brochure 468x60,Mazda 3
DataXu Mazda 3 financial 120x600,Mazda 3
DataXu Mazda 3 financial 160x600,Mazda 3
DataXu Mazda 3 financial 468x60,Mazda 3
DataXu Mazda 3 financial 728x90,Mazda 3
DataXu Mazda 6 brochure 120x600,Mazda 6
DataXu Mazda 6 brochure 160x600,Mazda 6
DataXu Mazda 6 brochure 468x60,Mazda 6
DataXu Mazda 6 financial 120x600,Mazda 6
DataXu Mazda 6 financial 160x600,Mazda 6
DataXu Mazda 6 financial 300x250,Mazda 6
DataXu Mazda 6 financial 468x60,Mazda 6
DataXu Mazda 6 financial 728x90,Mazda 6
DataXu Mazda MX5 brochure 160x600,MX-5
DataXu Mazda MX5 brochure 300x250,MX-5
DataXu Mazda MX5 brochure 728x90,MX-5
DataXu Mazda MX5 configure 300x250,MX-5
DataXu Mazda MX5 financial 120x600,MX-5
DataXu Mazda MX5 financial 160x600,MX-5
DataXu Mazda MX5 financial 300x250,MX-5
DataXu Mazda MX5 learnmore 120x600,MX-5
DataXu Mazda SUV brochure 120x600,CX-3 & CX-5
DataXu Mazda SUV brochure 160x600,CX-3 & CX-5
DataXu Mazda SUV brochure 300x250,CX-3 & CX-5
DataXu Mazda SUV brochure 468x60,CX-3 & CX-5
DataXu Mazda SUV brochure 728x90,CX-3 & CX-5
DataXu Mazda SUV financial 120x600,CX-3 & CX-5
DataXu Mazda SUV financial 300x250,CX-3 & CX-5
DataXu Mazda SUV financial 468x60,CX-3 & CX-5
DataXu Mazda SUV financial 728x90,CX-3 & CX-5
DataXu Mazda 2 default 300x250,Mazda 2
DataXu Mazda 2 learnmore 300x250,Mazda 2
DataXu Mazda 2 testdrive 300x250,Mazda 2
PKGFM2_PARKERS_Mazda2_Added Value_FY152P3InMarket_300 x 250_Cross Platform_Audience,Mazda 2
PKGFM3_PARKERS_Mazda3_Added Value_FY152P3InMarket_300 x 250_Cross Platform_Audience,Mazda 3
PKGFM5_PARKERS_Mazda6_Added Value_FY152P3InMarket_300 x 250_Cross Platform_Audience,Mazda 6
PKGFM6_PARKERS_MX5_Added Value_FY152P3InMarket_300 x 250_Cross Platform_Audience,MX-5
AUTO TRADER DIGITAL_InSearch_1x1_Jun_2Weeks_Mazda2_Bespoke_Desktop_Desktop_Site Specific - AUTO TRADER DIGITAL_InSearch_1x1_Jun_2Weeks_CX3_Bespoke_Desktop_Desktop_Site Specific_Non-Standard - Click Tracker,Mazda 2
